Entropy before packing,Entropy after packing ,Difference in Entropy,Our Results
1.415245304,1.121632204,-0.2936131,Packed
1.383866684,1.101625975,-0.28224071,Packed
1.376375882,1.100605206,-0.275770676,Packed
1.456178281,1.151297341,-0.30488094,Packed
1.422696992,1.173748546,-0.248948446,Packed
1.432129221,1.122370918,-0.309758303,Packed
1.347127187,1.193606883,-0.153520304,Packed
1.397141661,1.171294886,-0.225846774,Packed
1.454896566,1.16320959,-0.291686975,Packed
1.421047085,1.118351254,-0.302695832,Packed
1.383716861,1.098851063,-0.284865798,Packed
1.411579921,1.108067156,-0.303512765,Packed
1.378124921,1.076083522,-0.302041399,Packed
1.34339627,1.064261457,-0.279134814,Packed
1.463235425,1.162435015,-0.30080041,Packed
1.396354041,1.097594722,-0.298759318,Packed
1.459622509,1.18416695,-0.27545556,Packed
1.37946419,1.084261047,-0.295203143,Packed
1.445871541,1.165429978,-0.280441563,Packed
1.410530466,1.14731716,-0.263213305,Packed
1.308232947,1.206760172,-0.101472775,Packed
1.420610142,1.123572002,-0.297038139,Packed
1.307534451,1.061386496,-0.246147955,Packed
1.399241157,1.167000932,-0.232240226,Packed
1.376884974,1.088320808,-0.288564166,Packed
1.305743306,1.203499856,-0.10224345,Packed
1.424868701,1.128361988,-0.296506713,Packed
1.33811316,1.076147218,-0.261965943,Packed
1.370727175,1.121954352,-0.248772823,Packed
1.365555151,1.116460985,-0.249094166,Packed
1.462486796,1.17548259,-0.287004206,Packed
1.425477328,1.162058142,-0.263419186,Packed
1.422624044,1.202651153,-0.219972891,Packed
1.414043062,1.104681012,-0.30936205,Packed
1.366225349,1.086448625,-0.279776724,Packed
1.381809879,1.088836777,-0.292973102,Packed
1.488909467,1.182310365,-0.306599102,Packed
1.397457572,1.102048755,-0.295408817,Packed
1.478255655,1.134101495,-0.34415416,Packed
1.327776057,1.074025738,-0.253750319,Packed
1.355900669,1.08540656,-0.270494109,Packed
1.408426327,1.102107083,-0.306319244,Packed
1.369478112,1.080821781,-0.288656331,Packed
1.356832129,1.092248436,-0.264583693,Packed
1.426524562,1.124982629,-0.301541933,Packed
1.419221928,1.178675028,-0.2405469,Packed
1.452366874,1.162659391,-0.289707484,Packed
1.344580192,1.179082229,-0.165497964,Packed
1.401930699,1.109722105,-0.292208594,Packed
1.402967399,1.096323777,-0.306643621,Packed
1.366608084,1.088808424,-0.277799659,Packed
1.407234452,1.101205012,-0.30602944,Packed
1.170611762,1.089711475,-0.080900286,Packed
1.499280875,1.169220236,-0.330060639,Packed
1.405827689,1.112075315,-0.293752374,Packed
1.373566432,1.083022443,-0.290543989,Packed
1.434651742,1.13483155,-0.299820192,Packed
1.446163712,1.141005859,-0.305157853,Packed
1.419561825,1.136239974,-0.283321851,Packed
1.148539941,1.112228514,-0.036311426,Packed
1.398969871,1.1031803,-0.295789571,Packed
1.409515871,1.074109013,-0.335406858,Packed
1.384792945,1.090988107,-0.293804838,Packed
1.327509214,1.048863356,-0.278645858,Packed
1.328343156,1.049120096,-0.279223061,Packed
1.325193889,1.059867888,-0.265326001,Packed
1.433906714,1.082377047,-0.351529667,Packed
1.456793117,1.131889098,-0.324904019,Packed
1.386076982,1.094865569,-0.291211413,Packed
1.188242489,1.056712656,-0.131529833,Packed
1.290367952,1.078634872,-0.21173308,Packed
1.179482891,1.210704955,0.031222063,Packed
1.525079591,1.159230249,-0.365849342,Packed
1.441305086,1.209032498,-0.232272588,Packed
1.507190232,1.183892606,-0.323297626,Packed
1.425139513,1.078652158,-0.346487355,Packed
1.451759319,1.253762456,-0.197996863,Packed
1.397848079,1.101735259,-0.296112819,Packed
1.433258674,1.118958176,-0.314300498,Packed
1.353805646,1.081273547,-0.272532099,Packed
1.408105237,1.101740023,-0.306365214,Packed
1.38750598,1.174856808,-0.212649172,Packed
1.336849645,1.066838377,-0.270011268,Packed
1.405257597,1.144112667,-0.26114493,Packed
1.424078737,1.130628936,-0.2934498,Packed
1.439641406,1.164735651,-0.274905754,Packed
1.626798527,1.107905607,-0.51889292,Packed
1.454053061,1.082733083,-0.371319978,Packed
1.413827187,1.107436546,-0.306390641,Packed
1.411151164,1.121100731,-0.290050432,Packed
1.433370865,1.153445907,-0.279924959,Packed
1.446260206,1.194586058,-0.251674148,Packed
1.383140126,1.100351353,-0.282788772,Packed
1.403672219,1.192207377,-0.211464842,Packed
1.404923774,1.103866482,-0.301057292,Packed
1.373845942,1.092747081,-0.28109886,Packed
1.454935223,1.16065922,-0.294276003,Packed
1.299883414,1.092292202,-0.207591212,Packed
1.420784524,1.120250073,-0.300534452,Packed
1.418449525,1.16059791,-0.257851616,Packed
1.45882392,1.174494737,-0.284329183,Packed
1.371671675,1.092180779,-0.279490895,Packed
1.476447626,1.121782597,-0.354665029,Packed
